,date,open,high,low,close,volume
0,2023-05-03 09:15:00+05:30,18113.8,18113.8,18076.1,18081.3,0
1,2023-05-03 09:16:00+05:30,18081.25,18083.65,18072.3,18072.3,0
2,2023-05-03 09:17:00+05:30,18072.85,18072.85,18062.2,18066.1,0
3,2023-05-03 09:18:00+05:30,18065.75,18076.5,18064.35,18076.5,0
4,2023-05-03 09:19:00+05:30,18075.95,18077.1,18071.5,18074.65,0
5,2023-05-03 09:20:00+05:30,18074.8,18074.8,18060.1,18065.2,0
6,2023-05-03 09:21:00+05:30,18064.65,18067.05,18060.35,18063.45,0
7,2023-05-03 09:22:00+05:30,18063.25,18069.65,18060.15,18069.55,0
8,2023-05-03 09:23:00+05:30,18070.95,18073.1,18069.55,18070.05,0
9,2023-05-03 09:24:00+05:30,18069.95,18070.45,18066.95,18068.7,0
10,2023-05-03 09:25:00+05:30,18069.75,18069.75,18050.8,18053.5,0
11,2023-05-03 09:26:00+05:30,18053.3,18059.8,18053.3,18057.65,0
12,2023-05-03 09:27:00+05:30,18058.05,18066.8,18057.7,18064.75,0
13,2023-05-03 09:28:00+05:30,18065.15,18067.85,18063.5,18067.65,0
14,2023-05-03 09:29:00+05:30,18067.45,18070.6,18066.45,18068.55,0
15,2023-05-03 09:30:00+05:30,18069.9,18074.95,18068.35,18068.55,0
16,2023-05-03 09:31:00+05:30,18069.05,18069.05,18056.55,18059.95,0
17,2023-05-03 09:32:00+05:30,18059.3,18066.65,18059.3,18063.35,0
18,2023-05-03 09:33:00+05:30,18064.4,18067.2,18059.15,18063.45,0
19,2023-05-03 09:34:00+05:30,18063.3,18065.55,18061.0,18065.45,0
20,2023-05-03 09:35:00+05:30,18065.3,18074.55,18065.25,18071.05,0
21,2023-05-03 09:36:00+05:30,18071.05,18072.65,18066.3,18072.65,0
22,2023-05-03 09:37:00+05:30,18071.65,18075.8,18070.75,18074.05,0
23,2023-05-03 09:38:00+05:30,18074.25,18075.45,18071.75,18072.75,0
24,2023-05-03 09:39:00+05:30,18072.85,18077.05,18072.85,18076.2,0
25,2023-05-03 09:40:00+05:30,18077.1,18083.85,18074.2,18083.6,0
26,2023-05-03 09:41:00+05:30,18083.7,18086.35,18080.1,18081.5,0
27,2023-05-03 09:42:00+05:30,18082.55,18084.45,18081.2,18082.7,0
28,2023-05-03 09:43:00+05:30,18082.0,18082.6,18077.45,18078.0,0
29,2023-05-03 09:44:00+05:30,18077.6,18078.9,18075.65,18078.9,0
30,2023-05-03 09:45:00+05:30,18077.65,18079.25,18070.9,18071.85,0
31,2023-05-03 09:46:00+05:30,18071.3,18077.45,18070.0,18077.45,0
32,2023-05-03 09:47:00+05:30,18076.8,18078.75,18074.2,18074.2,0
33,2023-05-03 09:48:00+05:30,18073.15,18087.3,18072.65,18087.3,0
34,2023-05-03 09:49:00+05:30,18087.45,18091.2,18085.55,18090.15,0
35,2023-05-03 09:50:00+05:30,18090.45,18092.4,18088.9,18089.45,0
36,2023-05-03 09:51:00+05:30,18088.95,18090.7,18085.65,18086.65,0
37,2023-05-03 09:52:00+05:30,18086.85,18087.7,18085.3,18087.3,0
38,2023-05-03 09:53:00+05:30,18087.05,18087.05,18084.15,18086.55,0
39,2023-05-03 09:54:00+05:30,18086.6,18087.35,18084.7,18085.3,0
40,2023-05-03 09:55:00+05:30,18085.15,18088.25,18083.7,18087.3,0
41,2023-05-03 09:56:00+05:30,18087.4,18087.4,18084.15,18085.05,0
42,2023-05-03 09:57:00+05:30,18085.5,18086.55,18080.55,18083.3,0
43,2023-05-03 09:58:00+05:30,18083.75,18085.55,18082.2,18085.0,0
44,2023-05-03 09:59:00+05:30,18085.05,18089.65,18084.75,18089.65,0
45,2023-05-03 10:00:00+05:30,18089.5,18092.1,18085.75,18087.15,0
46,2023-05-03 10:01:00+05:30,18087.5,18089.8,18087.35,18087.6,0
47,2023-05-03 10:02:00+05:30,18087.9,18088.6,18085.9,18087.25,0
48,2023-05-03 10:03:00+05:30,18087.45,18087.55,18085.8,18087.0,0
49,2023-05-03 10:04:00+05:30,18086.55,18087.3,18083.95,18084.6,0
50,2023-05-03 10:05:00+05:30,18084.15,18085.85,18083.95,18085.3,0
51,2023-05-03 10:06:00+05:30,18085.35,18086.75,18083.35,18083.75,0
52,2023-05-03 10:07:00+05:30,18084.45,18085.05,18081.8,18084.8,0
53,2023-05-03 10:08:00+05:30,18084.1,18085.85,18081.8,18083.7,0
54,2023-05-03 10:09:00+05:30,18084.1,18084.1,18080.0,18081.05,0
55,2023-05-03 10:10:00+05:30,18081.9,18085.5,18081.9,18084.4,0
56,2023-05-03 10:11:00+05:30,18084.3,18084.75,18082.7,18084.05,0
57,2023-05-03 10:12:00+05:30,18083.15,18085.35,18082.65,18084.4,0
58,2023-05-03 10:13:00+05:30,18085.5,18086.55,18084.25,18086.3,0
59,2023-05-03 10:14:00+05:30,18086.5,18086.5,18083.25,18083.55,0
60,2023-05-03 10:15:00+05:30,18083.65,18091.3,18083.65,18089.7,0
61,2023-05-03 10:16:00+05:30,18089.6,18091.3,18088.65,18089.7,0
62,2023-05-03 10:17:00+05:30,18090.05,18091.6,18089.75,18089.95,0
63,2023-05-03 10:18:00+05:30,18090.55,18091.75,18089.5,18091.55,0
64,2023-05-03 10:19:00+05:30,18091.8,18094.35,18091.65,18092.2,0
65,2023-05-03 10:20:00+05:30,18092.1,18092.35,18090.5,18092.35,0
66,2023-05-03 10:21:00+05:30,18091.6,18093.8,18091.0,18093.8,0
67,2023-05-03 10:22:00+05:30,18092.8,18095.9,18092.8,18094.5,0
68,2023-05-03 10:23:00+05:30,18094.55,18094.55,18091.85,18092.5,0
69,2023-05-03 10:24:00+05:30,18092.25,18092.75,18090.7,18092.75,0
70,2023-05-03 10:25:00+05:30,18092.45,18094.1,18092.3,18093.15,0
71,2023-05-03 10:26:00+05:30,18093.15,18094.2,18091.5,18094.15,0
72,2023-05-03 10:27:00+05:30,18094.4,18096.3,18092.25,18092.9,0
73,2023-05-03 10:28:00+05:30,18092.75,18093.4,18089.5,18092.7,0
74,2023-05-03 10:29:00+05:30,18093.0,18093.0,18088.6,18089.3,0
75,2023-05-03 10:30:00+05:30,18089.85,18091.25,18089.3,18090.95,0
76,2023-05-03 10:31:00+05:30,18089.7,18090.7,18089.3,18089.9,0
77,2023-05-03 10:32:00+05:30,18090.4,18095.2,18089.9,18093.35,0
78,2023-05-03 10:33:00+05:30,18093.35,18095.0,18092.5,18093.75,0
79,2023-05-03 10:34:00+05:30,18094.75,18095.65,18093.3,18094.1,0
80,2023-05-03 10:35:00+05:30,18093.3,18096.65,18093.05,18096.3,0
81,2023-05-03 10:36:00+05:30,18096.05,18096.5,18094.2,18094.2,0
82,2023-05-03 10:37:00+05:30,18094.7,18100.5,18093.9,18099.6,0
83,2023-05-03 10:38:00+05:30,18100.4,18101.75,18097.3,18098.35,0
84,2023-05-03 10:39:00+05:30,18097.85,18099.1,18096.7,18098.25,0
85,2023-05-03 10:40:00+05:30,18098.65,18099.8,18097.95,18098.75,0
86,2023-05-03 10:41:00+05:30,18098.25,18101.8,18098.25,18100.8,0
87,2023-05-03 10:42:00+05:30,18100.85,18104.1,18100.1,18103.85,0
88,2023-05-03 10:43:00+05:30,18104.75,18109.45,18104.05,18108.3,0
89,2023-05-03 10:44:00+05:30,18108.3,18110.3,18107.35,18107.65,0
90,2023-05-03 10:45:00+05:30,18107.4,18109.65,18105.85,18105.85,0
91,2023-05-03 10:46:00+05:30,18106.5,18110.65,18106.1,18110.2,0
92,2023-05-03 10:47:00+05:30,18110.2,18112.55,18108.75,18108.95,0
93,2023-05-03 10:48:00+05:30,18109.3,18112.1,18109.3,18111.05,0
94,2023-05-03 10:49:00+05:30,18111.25,18113.5,18110.5,18112.7,0
95,2023-05-03 10:50:00+05:30,18113.55,18116.25,18112.85,18112.9,0
96,2023-05-03 10:51:00+05:30,18112.3,18112.45,18108.1,18108.35,0
97,2023-05-03 10:52:00+05:30,18108.6,18111.9,18108.3,18110.2,0
98,2023-05-03 10:53:00+05:30,18109.7,18109.95,18104.2,18105.4,0
99,2023-05-03 10:54:00+05:30,18105.25,18106.9,18102.75,18105.8,0
100,2023-05-03 10:55:00+05:30,18105.75,18110.0,18105.3,18109.15,0
101,2023-05-03 10:56:00+05:30,18108.9,18109.5,18101.75,18104.95,0
102,2023-05-03 10:57:00+05:30,18104.05,18106.25,18104.0,18106.0,0
103,2023-05-03 10:58:00+05:30,18105.85,18110.65,18105.5,18110.2,0
104,2023-05-03 10:59:00+05:30,18110.7,18112.95,18108.3,18109.05,0
105,2023-05-03 11:00:00+05:30,18109.5,18110.15,18104.75,18105.55,0
106,2023-05-03 11:01:00+05:30,18105.45,18105.45,18101.85,18103.05,0
107,2023-05-03 11:02:00+05:30,18102.65,18103.25,18099.05,18100.1,0
